LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Label,Track index,Track ID,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Total distance traveled,Max distance traveled,Confinement ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate
Label,Index,ID,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Total dist.,Max dist.,Cfn. ratio,Mn. v. line,Fwd. progr.,Mn. ? rate
,,,,,,,,,(frame),(frame),(frame),(µm),(µm),(µm),(µm),(µm/frame),(µm/frame),(µm/frame),(µm/frame),(µm/frame),(quality),(µm),(µm),,(µm/frame),,(rad/frame)
Track_2959,7,7,95,2,0,0,0,1,96.0,0.0,96.0,5.5839673067619495,5.677802256649192,121.19671610907812,0.0,0.4995890825339072,13.196861171364692,0.007974568761048786,0.14344350799176628,1.9660836639972774,13.40441749974301,47.40703072998361,9.01989997112124,0.11778774626418963,0.05816632611210364,0.11642833709873131,1.6479200222683779
Track_2960,8,8,134,1,0,0,0,1,134.0,0.0,134.0,3.8045343317410807,68.31978130731275,121.2449718099609,0.0,0.3267347777900891,13.813415899679581,0.009151386919711057,0.10960324334349693,1.673152781956688,12.192952853530201,43.49715848008366,16.1787323366132,0.08746627284821579,0.02839204725179911,0.08689631218271963,1.593671586013959
Track_2961,9,9,353,0,0,0,0,0,352.0,0.0,352.0,8.961779292763861,99.9759621797698,117.01806762248768,0.0,0.10283014963475581,0.7459888750319479,0.002584761182681503,0.09456860492097056,0.06931284937908644,15.109812836471429,36.19621267143406,8.961779292763861,0.24758886721417872,0.025459600263533697,0.24758886721417883,1.8860044803211995
Track_2962,10,10,13,1,0,0,0,1,13.0,0.0,13.0,9.940533647191877,52.03417817278697,114.29391778111184,0.0,2.505606643303968,9.568912158556765,0.05616582045640227,0.39920848656480795,3.5552879701165696,10.368833688589243,35.27965950150621,9.983497006822867,0.28176387719296103,0.7646564343993751,0.3051781637165027,1.631979116986647
Track_2963,11,11,469,5,0,0,0,1,473.0,3.0,476.0,4.446022806604941,84.18312976107327,121.86108707099076,0.0,0.15923989059802945,6.896141496166923,0.005689420842954635,0.10907395186088467,0.3352493497664491,16.894746890200228,75.28837830899586,7.6131512152292,0.059053241768042,0.009399625383942792,0.059028082402231376,1.992586244212482
Track_2964,12,12,21,0,0,0,0,0,20.0,0.0,20.0,0.1266766022758191,39.1981244732921,119.1593262704395,0.0,0.06926289860458687,0.13059849713081206,0.01950466204332348,0.06436748919558044,0.032904701264579186,11.053817022414435,1.3852579720917364,0.19697219302228147,0.09144621783662267,0.0063338301137909545,0.0914462178366226,1.528667973538164
Track_2965,13,13,150,0,0,0,0,0,149.0,0.0,149.0,2.46911170703848,75.25027257046528,109.49441271386021,0.0,0.14311700015465342,0.6736018874445782,0.0035805364066799246,0.11476918943528572,0.10614078656972607,13.322687479654947,21.32443302304336,3.0179442103876624,0.11578791822367973,0.01657121951032537,0.11578791822367973,1.9129923702234397
Track_2966,14,14,527,0,0,0,0,0,526.0,0.0,526.0,5.89920452487447,114.6550548758856,111.3671504539003,0.0,0.08605331323524158,0.5764218352442055,0.005045943400028046,0.07782334686435038,0.05799697891897875,18.56241735063875,45.26404276173706,6.073841684003637,0.13032871491234163,0.011215217727898233,0.1303287149123416,1.9479558244090438
Track_2967,15,15,803,0,0,0,0,0,802.0,3.0,805.0,9.532952773434522,58.087604792063026,112.64570160426983,0.0,0.13864590197433668,10.694226864778877,0.0036545331557720235,0.08213003386436299,0.48720393059257516,22.91849025664561,111.19401338341792,11.763185266242465,0.08573260810870369,0.011886474779843543,0.08573260810870362,1.9611222421253696
Track_2968,16,16,9,0,0,0,0,0,8.0,0.0,8.0,0.06781362253308411,159.7317746206546,109.04919968408973,0.0,2.5171983023157782,9.864064001455208,0.015115721367848334,0.14101607189044313,4.516918043987682,10.513376871744791,20.137586418526226,9.78191356716568,0.0033675149108582728,0.008476702816635514,0.0033675149108582728,2.3091146212694498
Track_2969,17,17,248,0,0,0,0,0,247.0,0.0,247.0,11.332161166474183,146.0987533952893,106.39681719937778,0.0,0.13394443477424117,7.082325416932052,0.002508738813650334,0.08270595664783031,0.45066846463467103,16.79186882511262,33.08427538923758,11.409066964635166,0.3425240853290857,0.045879195005968355,0.34252408532908585,1.989153690007871
Track_2970,18,18,101,0,0,0,0,0,100.0,0.0,100.0,9.435333151394344,172.96660000840686,103.17183441716426,0.0,0.4419034237842743,10.41228016129812,0.014817064669648956,0.12501310230914964,1.7394290109392612,12.176137565386178,44.19034237842743,10.031427314177739,0.21351572863125015,0.09435333151394344,0.21351572863125015,1.793437575042907
Track_2971,19,19,382,0,0,0,0,0,381.0,0.0,381.0,8.933892139482577,187.0533380032281,115.76499202400724,0.0,0.1585794046431959,4.994063529404783,0.004955969825501935,0.12972176209773062,0.2629247996680407,13.66692810657761,60.41875316905764,9.151351456587062,0.14786621157978325,0.023448535799166868,0.14786621157978325,2.0891905456070976
Track_2972,20,20,17,1,0,0,0,1,17.0,0.0,17.0,11.525523083335257,56.08710815452364,115.7750494837186,0.0,1.4023390589441251,9.119587752867977,0.006510750993497162,0.3164900104527103,2.9262521620778457,14.44251610251034,22.75391495355871,11.525523083335257,0.5065292327434259,0.6779719460785445,0.48345793533627707,1.7731265826934335
Track_2973,21,21,440,0,0,0,0,0,439.0,0.0,439.0,19.22599334350674,85.40205445258235,112.6262214060473,0.0,0.14777356266679528,12.18105856295686,0.0032112984076128016,0.08710972788049838,0.6683795306703376,16.76206250624223,64.8725940107231,19.22599334350674,0.29636541650128534,0.04379497344762356,0.29636541650128523,1.9758498291367945
Track_2974,22,22,7,0,0,0,0,0,6.0,0.0,6.0,9.274604817017051,40.82378880966331,110.90208955689823,0.0,1.5671098615289527,9.043272638222513,0.040412415547118,0.11275358639678212,3.6627281723933613,15.729674203055245,9.402659169173717,9.274604817017051,0.9863810492486543,1.5457674695028418,0.9863810492486543,0.8597055227189665
Track_2975,23,23,8,0,0,0,0,0,7.0,0.0,7.0,0.35841215024296647,68.66688654845946,131.79409398575584,0.0,0.15871520727455554,0.3752450707871001,0.04261582600942048,0.12428474253369007,0.1140526834783238,10.353424072265625,1.111006450921889,0.35841215024296647,0.3226013223825693,0.05120173574899521,0.3226013223825694,1.4222628677026712
Track_2976,24,24,342,2,0,0,0,1,343.0,0.0,343.0,7.3372872993898035,89.36365740064166,130.40328864795825,0.0,0.18622687221770462,8.417104022520238,0.0060218498976063175,0.1307928346986602,0.4680393114563966,12.107386226542513,63.59699212056532,8.352123094572114,0.11537160885659481,0.021391508161486307,0.11486799894528117,1.9483713313885858
Track_2977,25,25,8,0,0,0,0,0,7.0,0.0,7.0,0.3047949522941019,149.49874515218693,131.08468498508324,0.0,0.1387449386736211,0.2282610784877888,0.0201593777227522,0.16202053600384203,0.06646495059661195,10.444938659667969,0.9712145707153477,0.3047949522941019,0.31382864454927334,0.04354213604201456,0.31382864454927334,1.1822025815717
Track_2978,26,26,14,0,0,0,0,0,13.0,0.0,13.0,0.7643802612224461,165.5217883338528,131.3842090921555,0.0,0.20723488220353342,0.4880335352143902,0.04638361477328511,0.16865285569850072,0.13861000293455078,10.864490509033203,2.6940534686459343,0.7643802612224461,0.2837286899159553,0.058798481632495854,0.2837286899159553,2.066876435984895
Track_2979,27,27,259,0,0,0,0,0,258.0,0.0,258.0,14.540477420752849,42.43466791689052,129.75741559335185,0.0,0.15620873631367296,11.152164269988566,0.00613249188243646,0.08461709577578744,0.7620292886852422,16.850878314161854,40.30185396892761,14.540477420752849,0.36078929351397665,0.05635843961532112,0.36078929351397654,1.5027362140746539
Track_2980,28,28,43,0,0,0,0,0,42.0,0.0,42.0,0.6249918955927354,195.57659476872277,129.55130041610127,0.0,0.10794082311512009,0.2601910349007035,0.013643629955049825,0.08847499958343887,0.0643482937248226,11.327935507131178,4.533514570835044,0.6249918955927354,0.1378603478222892,0.014880759418874652,0.13786034782228923,1.869970804394272
Track_2981,29,29,805,1,0,0,0,1,805.0,0.0,805.0,4.44420053283456,25.77100143134177,129.1014599371847,0.0,0.10718636661253482,9.020811782362703,0.0019309370535500541,0.06817009302643212,0.4846874796252975,17.944032420282777,86.36257432138383,7.2589596965939425,0.051459796882573385,0.005520746003521193,0.05150604669228123,1.985312180421284
